name,iso,value
Eisenstadt(Stadt),101,5.13734489838338
Rust(Stadt),102,0
Eisenstadt-Umgebung,103,1.58376959907445
Güssing,104,2.0011944863058
Jennersdorf,105,3.82879318190194
Mattersburg,106,1.7146669181873
Neusiedl am See,107,1.32182402223858
Oberpullendorf,108,1.6529805204909
Oberwart,109,1.48931738750778
Klagenfurt(Stadt),201,1.11582775800115
Villach(Stadt),202,1.24292309571293
Hermagor,203,3.84341268061143
Klagenfurt Land,204,2.0473532982761
Sankt Veit an der Glan,205,1.36039630955218
Spittal an der Drau,206,1.55426475056712
Villach Land,207,1.86071721226778
Völkermarkt,208,1.47677782850401
Wolfsberg,209,1.33878677887595
Feldkirchen,210,2.94737147904997
Krems an der Donau(Stadt),301,4.03652084230948
Sankt Pölten(Stadt),302,1.1813554777306
Waidhofen an der Ybbs(Stadt),303,8.33574208389402
Wiener Neustadt(Stadt),304,1.52680741209141
Amstetten,305,1.34898634270417
Baden,306,1.24104056875327
Bruck an der Leitha,307,1.44798873746318
Gänserndorf,308,1.5202031844648
Gmünd,309,1.48731574591943
Hollabrunn,310,1.62565481677505
Horn,311,1.61706098420238
Korneuburg,312,1.28864309112811
Krems(Land),313,1.32883629696389
Lilienfeld,314,2.51248139384267
Melk,315,1.38091380975828
Mistelbach,316,1.50392153867533
Mödling,317,1.23565922490214
Neunkirchen,318,1.25570820755979
Sankt Pölten(Land),319,1.75995012490939
Scheibbs,320,1.51780247405789
Tulln,321,1.51042924617972
Waidhofen an der Thaya,322,2.18914638492154
Wiener Neustadt(Land),323,1.53426383216587
Wien-Umgebung,324,1.73007577133004
Zwettl,325,1.67783478806154
Linz(Stadt),401,1.16641157241335
Steyr(Stadt),402,1.5018443172802
Wels(Stadt),403,1.16004057896484
Braunau am Inn,404,1.47474710129662
Eferding,405,3.04047413601849
Freistadt,406,1.56391962070989
Gmunden,407,1.33000283032447
Grieskirchen,408,1.46489108617894
Kirchdorf an der Krems,409,1.57074364023828
Linz-Land,410,1.3575916881815
Perg,411,1.50309714426798
Ried im Innkreis,412,1.30827219907586
Rohrbach,413,1.58564860028828
Schärding,414,1.38514610660249
Steyr-Land,415,1.83033643667658
Urfahr-Umgebung,416,1.58433669736439
Vöcklabruck,417,1.30461816914239
Wels-Land,418,1.71486716467395
Salzburg(Stadt),501,1.12113644984425
Hallein,502,1.39177266356355
Salzburg-Umgebung,503,1.52591706640717
Sankt Johann im Pongau,504,1.34003055547976
Tamsweg,505,3.51640168700625
Zell am See,506,1.31237672451891
Graz(Stadt),601,1.18761880432375
Deutschlandsberg,603,1.42303289331029
Graz-Umgebung,606,1.57955070460249
Leibnitz,610,1.20435278459925
Leoben,611,1.25183822648716
Liezen,612,1.35812301686977
Murau,614,1.63313154344972
Voitsberg,616,1.27666176291762
Weiz,617,1.44272217267989
Innsbruck-Stadt,701,1.15036512234336
Imst,702,1.5018826310516
Innsbruck-Land,703,1.31744223454739
Kitzbühel,704,1.36926830564983
Kufstein,705,1.28083526578061
Landeck,706,1.62939360249808
Lienz,707,1.36193116613949
Reutte,708,2.27155617755591
Schwaz,709,1.30349239935954
Bludenz,801,1.34515137449386
Bregenz,802,1.33253079948812
Dornbirn,803,1.31578439869447
Feldkirch,804,1.20757880038338
Murtal,620,3.8915623128496
Bruck-Mürzzuschlag,621,2.75198576462142
Hartberg-Fürstenfeld,622,3.6273122391024
Südoststeiermark,623,4.32200105410077
Wien,900,1.34122538284565
